X,date,county,state,fips,cases,deaths
1,2020-03-06,Philadelphia,Pennsylvania,42045,2,0
2,2020-03-07,Philadelphia,Pennsylvania,42045,6,0
3,2020-03-08,Philadelphia,Pennsylvania,42045,11,0
4,2020-03-09,Philadelphia,Pennsylvania,42045,16,0
5,2020-03-10,Philadelphia,Pennsylvania,42045,21,0
6,2020-03-11,Philadelphia,Pennsylvania,42045,27,0
7,2020-03-12,Philadelphia,Pennsylvania,42045,35,0
8,2020-03-13,Philadelphia,Pennsylvania,42045,44,0
9,2020-03-14,Philadelphia,Pennsylvania,42045,56,0
10,2020-03-15,Philadelphia,Pennsylvania,42045,73,0
11,2020-03-16,Philadelphia,Pennsylvania,42045,95,0
12,2020-03-17,Philadelphia,Pennsylvania,42045,124,0
13,2020-03-18,Philadelphia,Pennsylvania,42045,161,0
14,2020-03-19,Philadelphia,Pennsylvania,42045,211,0
15,2020-03-20,Philadelphia,Pennsylvania,42045,285,0
16,2020-03-21,Philadelphia,Pennsylvania,42045,380,1
17,2020-03-22,Philadelphia,Pennsylvania,42045,501,2
18,2020-03-23,Philadelphia,Pennsylvania,42045,647,4
19,2020-03-24,Philadelphia,Pennsylvania,42045,815,5
20,2020-03-25,Philadelphia,Pennsylvania,42045,1012,8
21,2020-03-26,Philadelphia,Pennsylvania,42045,1233,11
22,2020-03-27,Philadelphia,Pennsylvania,42045,1498,14
23,2020-03-28,Philadelphia,Pennsylvania,42045,1813,18
24,2020-03-29,Philadelphia,Pennsylvania,42045,2175,23
25,2020-03-30,Philadelphia,Pennsylvania,42045,2594,30
26,2020-03-31,Philadelphia,Pennsylvania,42045,3068,37
27,2020-04-01,Philadelphia,Pennsylvania,42045,3579,47
28,2020-04-02,Philadelphia,Pennsylvania,42045,4143,61
29,2020-04-03,Philadelphia,Pennsylvania,42045,4765,75
30,2020-04-04,Philadelphia,Pennsylvania,42045,5435,92
31,2020-04-05,Philadelphia,Pennsylvania,42045,6148,113
32,2020-04-06,Philadelphia,Pennsylvania,42045,6887,134
33,2020-04-07,Philadelphia,Pennsylvania,42045,7656,156
34,2020-04-08,Philadelphia,Pennsylvania,42045,8452,189
35,2020-04-09,Philadelphia,Pennsylvania,42045,9248,226

